"running_HR_25p","running_HR_max","running_HR_75p","running_HR_mean","training_RPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_HRrest","training_daypart_evening","training_daypart_morning","training_session_Ext interval","training_session_Ext tempo","training_session_Fartlek","training_session_Int endurance","training_session_Int interval","training_session_Int tempo","readiness_notready","TRIMP","SHRZ","wellness","HRR"
177,181.5726,179,168.350877192982,"9",4,3,2,2,2.5,53,0,0,0,0,0,0,0,1,0,11823.8432748538,148.738845658099,2.7,128.5726
151,156,153,144.58448130447,"3",3.5,2,3,3,3,55,1,0,0,0,0,0,0,0,0,8571.45,126.99154475206,2.9,101
137,148,142,132.056120659418,"2",4,3.5,3,3,3.5,53,0,1,0,0,0,0,0,0,0,6153.81522272888,106.396569042854,3.4,95
153,159,154,147.088590604027,"4",4,3,3,2.5,3.5,52,0,1,0,0,0,1,0,0,0,5407.95718120806,78.6073627325041,3.2,107
140,146,141,137.136696501221,"2",4,3.5,3,2.5,3,52,0,1,0,0,0,0,0,0,0,13914.8034716572,212.857057078868,3.2,94
144,153,147,138.914834205934,"2",3.5,2,3,2.5,3.5,54,1,0,0,0,0,0,0,0,0,6501.21424083771,103.669518786917,2.9,99
144,149,146,139.46925566343,"2",3.5,3,3,3.5,3,56,0,1,0,0,0,0,0,0,0,9841.88047464938,149.385901442308,3.2,93
144,168,146,139.180074257426,"3",3,2.5,3,2.5,3,54,1,0,0,0,0,0,0,0,0,7497.16666666668,136.974757321051,2.8,114
138,151,141,134.346534653465,"3",3,2,3,2,3,53,1,0,0,0,0,0,0,0,1,9164.6727722772,156.146090149303,2.6,98
148,154.727,152,142.36799707067,"3",3,2,2.5,2.5,3,51,1,0,0,0,0,0,0,0,0,6368.5950689613,96.4900596414269,2.6,103.727
145,155,149,139.607876298623,"2",3,2.5,3,2.5,3.5,51,1,0,0,0,0,0,0,0,0,18907.5600467102,302.023113345766,2.9,104
148,156,151,143.246005809731,"2",4,2.5,3,2.5,3,51,0,0,0,0,0,0,0,0,0,13068.8105967078,197.309898030078,3,105
159,164.7612,161,154.211385516953,"4",2.5,2,2.5,2,2,54,0,0,0,0,0,0,0,0,1,5991.11232733362,81.5859189634383,2.2,110.7612
166,171,168,159.720649061406,"6",2,2,3,2.5,2.5,49,1,0,1,0,0,0,0,0,0,8220.28940502703,107.748404967505,2.4,122
155,161,159,146.415172413793,"5",3.5,3.5,3.5,4,3.5,50,0,0,0,0,0,1,0,0,0,5583.29857471264,83.4134275618376,3.6,111
134,139,135,129.914595028067,"2",2,2.5,3,2,3.5,53,1,0,0,0,0,0,0,0,1,5257.21061213578,85.9687726486819,2.6,86
137,144.6903,138,132.441897998709,"3",3.5,2.5,3,3.5,3.5,52,1,0,0,0,0,0,0,0,0,6730.25578330106,111.25300585246,3.2,92.6903
165,179,169,156.677733780079,"6",2,2,3,3,3.5,51,0,1,0,0,1,0,0,0,0,8330.0328459742,122.35437751004,2.7,128
154,167,156,145.912927112142,"4",3.5,2.5,3.5,2.5,3.5,51,0,0,0,0,0,0,0,0,0,27258.9666666667,433.81228022485,3.1,116
157,162,159,152.486642221058,"5",2.5,2,2,2.5,3,51,1,0,1,0,0,0,0,0,0,9601.57557185262,130.851407725898,2.4,111
153,159,155,143.673772791024,"4",2,2,2.5,3,3.5,55,0,1,0,0,0,0,0,0,0,8119.96272557271,125.941335096366,2.6,104
142,148.4021,143,139.479598662207,"3",4.5,4,4,4,4.5,53,0,0,0,0,0,0,0,0,0,13629.4814492753,204.817242025901,4.2,95.4021
168,193.3592,187,162.98127925117,"6",3.5,2,3.5,3,4,51,0,0,1,0,0,0,0,0,0,8540.21903276131,126.568316121928,3.2,142.3592
147,154,149,139.825706940874,"3",2,2,2,3,3,55,0,1,0,0,0,0,0,0,0,4285.65791773779,67.9660118131236,2.4,99
156,161,158,152.354228855721,"3",3,2.5,2.5,2.5,2.5,56,0,0,0,0,0,0,0,0,1,12647.9402321724,171.88477554835,2.6,105
161,179,163,157.623682076237,"5",4,3,3,2.5,3,56,0,0,0,0,0,1,0,0,0,9462.67504731009,138.056304528259,3.1,123
155,160,157,150.798284862043,"4",4,3,3,3,2.5,58,1,0,0,0,0,0,0,0,0,6632.61122918219,91.8548226691045,3.1,102
161,184,163,158.013287612516,"5",3,2.5,2.5,3,2.5,56,1,0,0,0,0,1,0,0,0,6088.77868266895,91.8635884205824,2.7,128
149,154,151,144.658491439149,"5",2,2,2.5,2,3.5,60,0,0,0,0,0,0,0,0,0,5116.08864723124,74.611377539214,2.4,94
157,163,159,152.617480136209,"5",4,3,2,3,3,57,0,0,0,0,0,1,0,0,0,11212.2975406735,154.74353272633,3,106
161,175,166,157.226368159204,"4",3.5,3.5,3.5,3.5,3.5,59,0,0,0,0,0,0,0,0,0,15565.4104477612,222.135872565655,3.5,116
156,166,160,151.759843482514,"3",2,2.5,3.5,3,3.5,58,0,0,0,0,0,0,0,0,0,10033.8549849189,144.700966811343,2.9,108
154,164,157,141.153374233129,"4",3,2.5,3,3,3.5,55,0,0,0,0,0,1,0,0,0,6158.99222903886,104.888095373733,3,109
151,160,153,147.576726342711,"4",3,3,2.5,2.5,3.5,55,1,0,0,0,0,0,0,0,0,7659.2320971867,111.842904896747,2.9,105
